time_s,torsion_a_v,torsion_b_v
-1.459999999999999840e-02,3.600000000000000089e+00,3.796000000000000263e+00
-1.454999999999999870e-02,3.540000000000000036e+00,3.832000000000000295e+00
-1.449999999999999900e-02,3.600000000000000089e+00,3.836000000000000298e+00
-1.444999999999999757e-02,3.540000000000000036e+00,3.788000000000000256e+00
-1.439999999999999787e-02,3.600000000000000089e+00,3.828000000000000291e+00
-1.434999999999999817e-02,3.540000000000000036e+00,3.792000000000000259e+00
-1.429999999999999674e-02,3.540000000000000036e+00,3.792000000000000259e+00
-1.424999999999999878e-02,3.600000000000000089e+00,3.828000000000000291e+00
-1.419999999999999735e-02,3.600000000000000089e+00,3.824000000000000288e+00
-1.414999999999999938e-02,3.540000000000000036e+00,3.788000000000000256e+00
-1.409999999999999795e-02,3.600000000000000089e+00,3.832000000000000295e+00
-1.404999999999999652e-02,3.520000000000000018e+00,3.784000000000000252e+00
-1.399999999999999856e-02,3.520000000000000018e+00,3.780000000000000249e+00
-1.394999999999999712e-02,3.620000000000000107e+00,3.863999999999999879e+00
-1.389999999999999916e-02,3.520000000000000018e+00,3.792000000000000259e+00
-1.384999999999999773e-02,3.879999999999999893e+00,3.855999999999999872e+00
-1.379999999999999977e-02,3.820000000000000284e+00,3.824000000000000288e+00
-1.374999999999999833e-02,3.919999999999999929e+00,3.867999999999999883e+00
-1.369999999999999690e-02,3.939999999999999947e+00,3.832000000000000295e+00
-1.364999999999999894e-02,3.859999999999999876e+00,3.879999999999999893e+00
-1.359999999999999751e-02,3.879999999999999893e+00,3.847999999999999865e+00
-1.354999999999999954e-02,3.959999999999999964e+00,3.883999999999999897e+00
-1.349999999999999811e-02,3.919999999999999929e+00,3.851999999999999869e+00
-1.344999999999999668e-02,3.979999999999999982e+00,3.887999999999999901e+00
-1.339999999999999872e-02,3.919999999999999929e+00,3.851999999999999869e+00
-1.334999999999999729e-02,4.000000000000000000e+00,3.891999999999999904e+00
-1.329999999999999932e-02,3.919999999999999929e+00,3.855999999999999872e+00
-1.324999999999999789e-02,4.000000000000000000e+00,3.895999999999999908e+00
-1.319999999999999646e-02,3.939999999999999947e+00,3.855999999999999872e+00
-1.314999999999999850e-02,4.020000000000000462e+00,3.895999999999999908e+00
-1.309999999999999706e-02,4.020000000000000462e+00,3.851999999999999869e+00
-1.304999999999999910e-02,3.939999999999999947e+00,3.911999999999999922e+00
-1.299999999999999767e-02,3.939999999999999947e+00,3.907999999999999918e+00
-1.294999999999999971e-02,4.020000000000000462e+00,3.828000000000000291e+00
-1.289999999999999827e-02,4.020000000000000462e+00,3.899999999999999911e+00
-1.284999999999999684e-02,3.180000000000000160e+00,3.788000000000000256e+00
-1.279999999999999888e-02,3.220000000000000195e+00,3.812000000000000277e+00
-1.274999999999999745e-02,3.160000000000000142e+00,3.756000000000000227e+00
-1.269999999999999948e-02,3.200000000000000178e+00,3.780000000000000249e+00
-1.264999999999999805e-02,3.120000000000000107e+00,3.736000000000000210e+00
-1.259999999999999662e-02,3.120000000000000107e+00,3.764000000000000234e+00
-1.254999999999999866e-02,3.160000000000000142e+00,3.724000000000000199e+00
-1.249999999999999722e-02,3.180000000000000160e+00,3.748000000000000220e+00
-1.244999999999999926e-02,3.100000000000000089e+00,3.704000000000000181e+00
-1.239999999999999783e-02,3.100000000000000089e+00,3.740000000000000213e+00
-1.234999999999999640e-02,3.140000000000000124e+00,3.700000000000000178e+00
-1.229999999999999843e-02,3.100000000000000089e+00,3.732000000000000206e+00
-1.224999999999999700e-02,3.140000000000000124e+00,3.696000000000000174e+00
-1.219999999999999904e-02,3.140000000000000124e+00,3.688000000000000167e+00
-1.214999999999999761e-02,3.100000000000000089e+00,3.720000000000000195e+00
-1.209999999999999964e-02,3.140000000000000124e+00,3.736000000000000210e+00
-1.204999999999999821e-02,3.100000000000000089e+00,3.680000000000000160e+00
-1.199999999999999678e-02,3.040000000000000036e+00,3.728000000000000203e+00
-1.194999999999999882e-02,3.140000000000000124e+00,3.648000000000000131e+00
-1.189999999999999739e-02,3.100000000000000089e+00,3.688000000000000167e+00
-1.184999999999999942e-02,3.280000000000000249e+00,3.732000000000000206e+00
-1.179999999999999799e-02,3.240000000000000213e+00,3.700000000000000178e+00
-1.174999999999999656e-02,3.280000000000000249e+00,3.736000000000000210e+00
-1.169999999999999860e-02,3.240000000000000213e+00,3.708000000000000185e+00
-1.164999999999999716e-02,3.280000000000000249e+00,3.744000000000000217e+00
-1.159999999999999920e-02,3.280000000000000249e+00,3.704000000000000181e+00
-1.154999999999999777e-02,3.240000000000000213e+00,3.744000000000000217e+00
-1.149999999999999634e-02,3.280000000000000249e+00,3.748000000000000220e+00
-1.144999999999999837e-02,3.240000000000000213e+00,3.716000000000000192e+00
-1.139999999999999694e-02,3.300000000000000266e+00,3.748000000000000220e+00
-1.134999999999999898e-02,3.240000000000000213e+00,3.712000000000000188e+00
-1.129999999999999755e-02,3.260000000000000231e+00,3.752000000000000224e+00
